 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  03/17/2020 12:22:37                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


638 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
000698 0x08F20000 0x00000050 0x08F1FFF0 0x00000070 0x00000000 new         N       N    ??(00000)::??
000696 0x08F20078 0x00000050 0x08F20068 0x00000070 0x00000000 new         N       N    ??(00000)::??
000701 0x08F200F0 0x00000050 0x08F200E0 0x00000070 0x00000000 new         N       N    ??(00000)::??
000694 0x08F20168 0x00000050 0x08F20158 0x00000070 0x00000000 new         N       N    ??(00000)::??
000707 0x08F201E0 0x00000050 0x08F201D0 0x00000070 0x00000000 new         N       N    ??(00000)::??
000693 0x08F202D0 0x00000050 0x08F202C0 0x00000070 0x00000000 new         N       N    ??(00000)::??
000697 0x08F20348 0x00000050 0x08F20338 0x00000070 0x00000000 new         N       N    ??(00000)::??
000703 0x08F204B0 0x00000050 0x08F204A0 0x00000070 0x00000000 new         N       N    ??(00000)::??
000695 0x08F205A0 0x00000050 0x08F20590 0x00000070 0x00000000 new         N       N    ??(00000)::??
000710 0x08F20690 0x00000050 0x08F20680 0x00000070 0x00000000 new         N       N    ??(00000)::??
000700 0x08F20708 0x00000050 0x08F206F8 0x00000070 0x00000000 new         N       N    ??(00000)::??
000702 0x08F20780 0x00000050 0x08F20770 0x00000070 0x00000000 new         N       N    ??(00000)::??
000709 0x08F207F8 0x00000050 0x08F207E8 0x00000070 0x00000000 new         N       N    ??(00000)::??
000711 0x08F20870 0x00000050 0x08F20860 0x00000070 0x00000000 new         N       N    ??(00000)::??
000699 0x08F209D8 0x00000050 0x08F209C8 0x00000070 0x00000000 new         N       N    ??(00000)::??
000704 0x08F20A50 0x00000050 0x08F20A40 0x00000070 0x00000000 new         N       N    ??(00000)::??
000610 0x08F20B40 0x00000050 0x08F20B30 0x00000070 0x00000000 new         N       N    ??(00000)::??
000608 0x08F20BB8 0x00000050 0x08F20BA8 0x00000070 0x00000000 new         N       N    ??(00000)::??
000068 0x00EB0C00 0x00000050 0x00EB0BF0 0x00000070 0x00000000 new         N       N    ??(00000)::??
000613 0x08F20C30 0x00000050 0x08F20C20 0x00000070 0x00000000 new         N       N    ??(00000)::??
000079 0x00EB0C78 0x00000050 0x00EB0C68 0x00000070 0x00000000 new         N       N    ??(00000)::??
000606 0x08F20CA8 0x00000050 0x08F20C98 0x00000070 0x00000000 new         N       N    ??(00000)::??
000084 0x00EB0CF0 0x00000050 0x00EB0CE0 0x00000070 0x00000000 new         N       N    ??(00000)::??
000619 0x08F20D20 0x00000050 0x08F20D10 0x00000070 0x00000000 new         N       N    ??(00000)::??
000604 0x08F20D98 0x00000050 0x08F20D88 0x00000070 0x00000000 new         N       N    ??(00000)::??
000082 0x00EB0DE0 0x00000050 0x00EB0DD0 0x00000070 0x00000000 new         N       N    ??(00000)::??
